condition,cellId,mean_speed,max_speed,std_speed,total_displacement,trajectory_length,mean_area,std_area,mean_volume,std_volume,residence_time,lateral_migration
Diabetes,-250,0.01602296341659643,0.01842366313116436,0.0009847575858514031,1.841371411087467e-05,1.8416278886574338e-05,1.7932824137931034e-10,1.8564132558861148e-11,8.307549827586208e-17,2.549798590452596e-19,116,5.680000000000257e-08
Diabetes,-237,0.019943059680565794,0.023433962237435754,0.0014996398684624902,4.410430240566106e-05,4.410967655347439e-05,1.7522787443946188e-10,2.174150545506525e-11,8.265557309417041e-17,3.9667106041872555e-19,223,1.323000000000004e-07
Diabetes,-233,0.011044837891498882,0.012683678737056139,0.0008871243236302244,2.8534592074434847e-06,2.854119001131473e-06,1.8273548148148144e-10,6.45169141430471e-12,8.224797037037036e-17,3.4227438552388903e-20,27,1.9299999999998274e-08
Diabetes,-231,0.019666851266891952,0.023459782860874908,0.0019921848348256714,2.0420472204114773e-05,2.0424566554533552e-05,1.4532869523809523e-10,6.792656562454624e-12,8.338044952380954e-17,5.683127714798473e-20,105,5.270000000000036e-08
Diabetes,-226,0.01303804249818782,0.014345751068345671,0.0008397052161049076,6.7759489312043225e-06,6.777038362024355e-06,2.0252654716981134e-10,1.311775256689903e-11,8.236364150943396e-17,2.74714096438995e-19,53,2.0049999999999918e-08
Diabetes,-216,0.01042231912137387,0.014311174760742042,0.0018435653133211387,6.205872222587974e-06,6.208122520002032e-06,1.5112940983606558e-10,1.1938520865077952e-11,8.27162950819672e-17,1.552045321784874e-19,61,5.5299999999999284e-08
Diabetes,-215,0.02048725135037625,0.023122797794427906,0.0011559720585289997,2.0632156435456015e-05,2.063474241528066e-05,1.8623743137254903e-10,1.1435040058469755e-11,8.385493529411763e-17,2.084996795339363e-19,102,4.300000000000111e-08
Diabetes,-207,0.00840033814568296,0.010216715815962634,0.0009151626528952407,3.612897293794691e-06,3.6135346231427358e-06,2.025338409090909e-10,1.2333045533723295e-11,8.326242500000002e-17,8.873016090083611e-20,44,2.0139999999999438e-08
Diabetes,-204,0.01868958096959103,0.023117245114115562,0.0014708897313834618,1.9933316117177418e-05,1.993894061530509e-05,1.467939629629629e-10,1.010577419835552e-11,8.271674351851852e-17,2.300435039202709e-19,108,4.5200000000000855e-08
Diabetes,-174,0.011125359664287755,0.013201388750192156,0.0008399078959437459,5.648543943267592e-06,5.650142152749117e-06,1.645739038461539e-10,1.0399569767231447e-11,8.321867500000002e-17,6.740800521204222e-20,52,1.7100000000000226e-08
Diabetes,-173,0.016182708749509885,0.01854416313098275,0.0015761101685273673,5.3443937967859364e-06,5.345149123766968e-06,1.761675e-10,6.773892535002129e-12,8.287133235294116e-17,5.1389762691098915e-20,34,1.210000000000112e-08
Diabetes,-153,0.019146967626156298,0.0219514299081466,0.0018499093368985536,4.371782898801597e-06,4.372021459136668e-06,2.1262616666666667e-10,4.446518928297748e-12,8.331062499999999e-17,4.646683015170912e-20,24,2.4099999999998634e-08
Diabetes,-134,0.020804332519620897,0.023480042897390307,0.001305645963157473,3.1910393926817155e-05,3.1916103217263455e-05,1.4701652903225809e-10,7.71650428669739e-12,8.45834193548387e-17,1.5798180443344931e-19,155,1.1809999999999977e-07
Diabetes,-123,0.017360570434527687,0.019656753947398742,0.0008423096683540842,1.8757641089580002e-05,1.8761060527202098e-05,1.9401672477064219e-10,2.3952272426358846e-11,8.282299174311927e-17,1.6408541369283278e-19,109,6.970000000000037e-08
Diabetes,-74,0.016452159144896276,0.020813747540914803,0.0019951436817192405,6.720193292927221e-06,6.721465648773936e-06,1.5157911904761905e-10,4.70229809515793e-12,8.363525476190476e-17,3.995248520845968e-20,42,3.779000000000087e-08
Diabetes,-57,0.020155811379966342,0.023359554471612445,0.0011043204263096998,2.006093684737739e-05,2.006284151800844e-05,2.021017821782178e-10,1.3653710253703173e-11,8.2696098019802e-17,2.8451309529798485e-19,101,3.440000000000089e-08
Diabetes,-46,0.012618554197240693,0.013922494211394883,0.000573276871899559,4.127605158151637e-06,4.128307426767005e-06,2.0234023529411765e-10,9.111673558346355e-12,8.277451176470588e-17,2.7127199675055583e-19,34,1.7199999999997057e-08
Diabetes,-43,0.015246768072288412,0.01671312293220995,0.0008654872030531686,5.173168354029859e-06,5.173707226674928e-06,2.1274477142857145e-10,8.68307093306115e-12,8.319524857142857e-17,1.152187826074655e-19,35,2.159999999999993e-08
Diabetes,-29,0.01746844554798951,0.019638346910141623,0.001211459857350131,5.100381484175012e-06,5.100627491846642e-06,2.0650850000000003e-10,4.7770859516712884e-12,8.193062000000001e-17,5.664660807935917e-20,30,1.5190000000000442e-08
Diabetes,-22,0.017729902635840854,0.021772864586384243,0.0017681422206378289,3.196682353395534e-05,3.1974706267204784e-05,1.5275249999999999e-10,1.6453713016531763e-11,8.324813021978022e-17,6.304812954309977e-19,182,5.798000000000042e-08
Diabetes,0,0.009621667506726748,0.014193316677154778,0.0014868836254489752,1.684625515077164e-05,1.7164349157538792e-05,1.7382591111111112e-10,3.551071049859408e-11,8.254147055555558e-17,5.569634742943325e-19,180,1.1420999999999954e-07
Diabetes,3,0.015363850558208016,0.019963969131977788,0.002835577124282439,1.5543548550765358e-05,1.5698836283927065e-05,1.3520130769230767e-10,6.640982248492659e-12,8.229763557692306e-17,5.030926334664498e-19,104,1.3989999999999844e-07
Diabetes,16,0.018713585988025905,0.024826294424157243,0.004233316190411434,1.4116563951967919e-05,1.4268229752980678e-05,1.342801038961039e-10,3.269811557359615e-12,8.197195974025974e-17,4.1027761148935e-19,77,1.9590000000000095e-07
Diabetes,20,0.01056054670470593,0.01333789083736799,0.0018886436959692674,9.359402904566082e-06,9.727822632144275e-06,1.4377675268817206e-10,1.3442890347896294e-11,8.195397526881718e-17,3.19030241055307e-19,93,3.48999999999986e-08
Diabetes,22,0.018898571857228652,0.022785400911414948,0.003335300695179799,1.7580549916882573e-05,1.7723051070452178e-05,1.2985781052631579e-10,1.9247670005148666e-12,8.224291368421053e-17,6.226563468721022e-19,95,6.559999999999985e-08
Diabetes,27,0.012595073645347257,0.016616148072859244,0.001800971858030823,1.811533278017547e-05,1.8310110223762473e-05,1.4170736734693879e-10,1.6637783597649483e-11,8.227430884353741e-17,5.5392618727467055e-19,147,5.645000000000011e-08
Diabetes,37,0.010037208130038016,0.013884936801492796,0.002389346639433844,4.518605646656942e-06,4.8322714488991145e-06,1.2865242857142856e-10,1.6578016191128942e-12,8.177751632653062e-17,3.567684043062445e-19,49,4.250000000000171e-08
Diabetes,38,0.019744043736356562,0.02405948349305789,0.002724092270276745,3.681599653981948e-05,3.686802768271703e-05,1.4236380319148936e-10,1.1542253387931653e-11,8.280120691489362e-17,7.199523630297652e-19,188,1.213e-07
Diabetes,46,0.008282438189225758,0.012108476355213822,0.0020502481885651823,8.388368449853645e-06,8.675608541949437e-06,1.471127452830189e-10,1.6634004769382346e-11,8.246458679245283e-17,6.191863053849626e-19,106,6.542999999999981e-08
